geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0043312	neutrophil degranulation	http://amigo.geneontology.org/amigo/term/GO:0043312	441	31	8.686563810665069	3.5687299000715624	7.460960738114863e-10	1.7399591900613132e-6	55;383;427;847;1075;1378;1509;1511;1794;2171;2352;3074;3689;3903;4033;4126;4332;6036;6279;6280;6556;6947;7226;7305;8566;8635;8876;11322;79930;84106;340061	VNN1;SLC11A1;LRMP;TRPM2;LAIR1;ASAH1;S100A9;MNDA;TYROBP;CR1;CTSD;RNASET2;CTSG;CTSC;DOCK2;DOK3;MANBA;ITGB2;ACPP;PDXK;TMC6;PRAM1;TMEM173;CAT;FOLR3;S100A8;TCN1;ARG1;FABP5;RNASE2;HEXB
GO:0002283	neutrophil activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002283	444	31	8.74565608148592	3.5446168602062134	8.803734408147079e-10	1.7399591900613132e-6	55;383;427;847;1075;1378;1509;1511;1794;2171;2352;3074;3689;3903;4033;4126;4332;6036;6279;6280;6556;6947;7226;7305;8566;8635;8876;11322;79930;84106;340061	VNN1;SLC11A1;LRMP;TRPM2;LAIR1;ASAH1;S100A9;MNDA;TYROBP;CR1;CTSD;RNASET2;CTSG;CTSC;DOCK2;DOK3;MANBA;ITGB2;ACPP;PDXK;TMC6;PRAM1;TMEM173;CAT;FOLR3;S100A8;TCN1;ARG1;FABP5;RNASE2;HEXB
GO:0042119	neutrophil activation	http://amigo.geneontology.org/amigo/term/GO:0042119	452	31	8.903235470341523	3.481880278609643	1.3586656244513051e-9	1.7399591900613132e-6	55;383;427;847;1075;1378;1509;1511;1794;2171;2352;3074;3689;3903;4033;4126;4332;6036;6279;6280;6556;6947;7226;7305;8566;8635;8876;11322;79930;84106;340061	VNN1;SLC11A1;LRMP;TRPM2;LAIR1;ASAH1;S100A9;MNDA;TYROBP;CR1;CTSD;RNASET2;CTSG;CTSC;DOCK2;DOK3;MANBA;ITGB2;ACPP;PDXK;TMC6;PRAM1;TMEM173;CAT;FOLR3;S100A8;TCN1;ARG1;FABP5;RNASE2;HEXB
GO:0002446	neutrophil mediated immunity	http://amigo.geneontology.org/amigo/term/GO:0002446	454	31	8.942630317555423	3.4665415989681914	1.5118478691178439e-9	1.7399591900613132e-6	55;383;427;847;1075;1378;1509;1511;1794;2171;2352;3074;3689;3903;4033;4126;4332;6036;6279;6280;6556;6947;7226;7305;8566;8635;8876;11322;79930;84106;340061	VNN1;SLC11A1;LRMP;TRPM2;LAIR1;ASAH1;S100A9;MNDA;TYROBP;CR1;CTSD;RNASET2;CTSG;CTSC;DOCK2;DOK3;MANBA;ITGB2;ACPP;PDXK;TMC6;PRAM1;TMEM173;CAT;FOLR3;S100A8;TCN1;ARG1;FABP5;RNASE2;HEXB
GO:0043299	leukocyte degranulation	http://amigo.geneontology.org/amigo/term/GO:0043299	481	32	9.47446075494308	3.3775009288317275	1.5340000381058871e-9	1.7399591900613132e-6	55;383;427;847;1075;1378;1509;1511;1794;2171;2352;3074;3689;3903;4033;4126;4332;5294;6036;6279;6280;6556;6947;7226;7305;8566;8635;8876;11322;79930;84106;340061	VNN1;SLC11A1;LRMP;TRPM2;LAIR1;ASAH1;S100A9;MNDA;TYROBP;CR1;CTSD;RNASET2;CTSG;CTSC;DOCK2;DOK3;MANBA;ITGB2;ACPP;PDXK;TMC6;PIK3CG;PRAM1;TMEM173;CAT;FOLR3;S100A8;TCN1;ARG1;FABP5;RNASE2;HEXB
GO:0036230	granulocyte activation	http://amigo.geneontology.org/amigo/term/GO:0036230	457	31	9.001722588376273	3.443785308384155	1.7724541834240881e-9	1.7399591900613132e-6	55;383;427;847;1075;1378;1509;1511;1794;2171;2352;3074;3689;3903;4033;4126;4332;6036;6279;6280;6556;6947;7226;7305;8566;8635;8876;11322;79930;84106;340061	VNN1;SLC11A1;LRMP;TRPM2;LAIR1;ASAH1;S100A9;MNDA;TYROBP;CR1;CTSD;RNASET2;CTSG;CTSC;DOCK2;DOK3;MANBA;ITGB2;ACPP;PDXK;TMC6;PRAM1;TMEM173;CAT;FOLR3;S100A8;TCN1;ARG1;FABP5;RNASE2;HEXB
GO:0002275	myeloid cell activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002275	491	32	9.671434991012582	3.3087127225418755	2.546119981516881e-9	2.14237809873349e-6	55;383;427;847;1075;1378;1509;1511;1794;2171;2352;3074;3689;3903;4033;4126;4332;5294;6036;6279;6280;6556;6947;7226;7305;8566;8635;8876;11322;79930;84106;340061	VNN1;SLC11A1;LRMP;TRPM2;LAIR1;ASAH1;S100A9;MNDA;TYROBP;CR1;CTSD;RNASET2;CTSG;CTSC;DOCK2;DOK3;MANBA;ITGB2;ACPP;PDXK;TMC6;PIK3CG;PRAM1;TMEM173;CAT;FOLR3;S100A8;TCN1;ARG1;FABP5;RNASE2;HEXB
GO:0002444	myeloid leukocyte mediated immunity	http://amigo.geneontology.org/amigo/term/GO:0002444	500	32	9.848711803475135	3.2491558935361216	3.968508521801084e-9	2.921814399176048e-6	55;383;427;847;1075;1378;1509;1511;1794;2171;2352;3074;3689;3903;4033;4126;4332;5294;6036;6279;6280;6556;6947;7226;7305;8566;8635;8876;11322;79930;84106;340061	VNN1;SLC11A1;LRMP;TRPM2;LAIR1;ASAH1;S100A9;MNDA;TYROBP;CR1;CTSD;RNASET2;CTSG;CTSC;DOCK2;DOK3;MANBA;ITGB2;ACPP;PDXK;TMC6;PIK3CG;PRAM1;TMEM173;CAT;FOLR3;S100A8;TCN1;ARG1;FABP5;RNASE2;HEXB
GO:0019882	antigen processing and presentation	http://amigo.geneontology.org/amigo/term/GO:0019882	161	14	3.1712852007189936	4.414613985782774	3.578116736902004e-6	0.0023416786200392004	160;811;911;912;913;1211;1509;3077;3140;4012;6556;7454;10121;114876	SLC11A1;LNPEP;MR1;CTSD;AP2A1;HFE;WAS;CD1C;CD1E;ACTR1A;CALR;CD1D;CLTA;OSBPL1A
GO:0072330	monocarboxylic acid biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0072330	247	16	4.865263630916717	3.2886193254414184	3.129287733805164e-5	0.018431504752112415	32;2171;2203;2819;3098;5007;5166;5230;6916;9415;10170;10993;11160;11343;55902;114876	ACACB;FBP1;ERLIN2;PDK4;DHRS9;TBXAS1;SDS;FADS2;ACSS2;GPD1;OSBP;MGLL;HK1;PGK1;FABP5;OSBPL1A
GO:0046394	carboxylic acid biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0046394	346	19	6.815308568004793	2.787841491021781	5.640775551341015e-5	0.02736116038745556	32;160;2171;2203;2752;2819;3098;4507;5007;5166;5230;6916;9415;10170;10993;11160;11343;55902;114876	ACACB;FBP1;ERLIN2;PDK4;DHRS9;AP2A1;TBXAS1;SDS;FADS2;ACSS2;GPD1;MTAP;OSBP;MGLL;GLUL;HK1;PGK1;FABP5;OSBPL1A
GO:0016053	organic acid biosynthetic process	http://amigo.geneontology.org/amigo/term/GO:0016053	347	19	6.835005991611744	2.779807365687424	5.8634313593541876e-5	0.02736116038745556	32;160;2171;2203;2752;2819;3098;4507;5007;5166;5230;6916;9415;10170;10993;11160;11343;55902;114876	ACACB;FBP1;ERLIN2;PDK4;DHRS9;AP2A1;TBXAS1;SDS;FADS2;ACSS2;GPD1;MTAP;OSBP;MGLL;GLUL;HK1;PGK1;FABP5;OSBPL1A
GO:0098542	defense response to other organism	http://amigo.geneontology.org/amigo/term/GO:0098542	378	20	7.445626123427202	2.686140785000101	6.038965790100548e-5	0.02736116038745556	54;383;1511;3017;3140;4938;6036;6279;6280;6556;6772;8764;10077;10346;10475;57817;58484;64581;114132;340061	ACP5;SLC11A1;MR1;S100A9;CLEC7A;CTSG;OAS1;TRIM22;SIGLEC11;NLRC4;HIST1H2BD;TNFRSF14;HAMP;TSPAN32;TMEM173;S100A8;ARG1;RNASE2;STAT1;TRIM38
GO:0002456	T cell mediated immunity	http://amigo.geneontology.org/amigo/term/GO:0002456	90	9	1.7727681246255242	5.07680608365019	6.836141126376205e-5	0.028760622310254176	383;911;912;913;1075;3077;6556;7454;8417	SLC11A1;HFE;CTSC;WAS;CD1C;CD1E;STX7;CD1D;ARG1
GO:0051186	cofactor metabolic process	http://amigo.geneontology.org/amigo/term/GO:0051186	455	22	8.962327741162373	2.45471942506163	9.825295474530371e-5	0.036746589704242244	32;847;2203;2350;2644;2819;3098;3313;4191;5166;5230;5498;6947;8566;8876;25974;51268;54977;55902;65220;119391;641371	ACACB;FBP1;VNN1;PDK4;PIPOX;ACSS2;GPD1;MDH2;ACOT1;PPOX;NADK;FOLR2;PDXK;CAT;MMACHC;SLC25A38;TCN1;GCHFR;HK1;PGK1;GSTO2;HSPA9
