geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
hsa04668	TNF signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04668+10000+1435+1906+2921+3383+3456+3569+3600+3725+3976+4318+4792+5291+5595+5606+5743+5970+6352+6364+7128+7185+840+9586	105	23	4.437113746450643	5.183549783549784	3.6733949215772554e-11	1.1534460053752582e-8	10000;1435;1906;2921;3383;3456;3569;3600;3725;3976;4318;4792;5291;5595;5606;5743;5970;6352;6364;7128;7185;840;9586	TRAF1;TNFAIP3;CCL20;CSF1;CCL5;IL6;AKT3;CXCL3;ICAM1;PTGS2;NFKBIA;MMP9;IFNB1;RELA;IL15;LIF;PIK3CB;EDN1;MAP2K3;MAPK3;CREB5;JUN;CASP7
hsa04933	AGE-RAGE signaling pathway in diabetic complications	http://www.kegg.jp/kegg-bin/show_pathway?hsa04933+10000+1277+1906+2152+3383+3552+3569+3717+3725+4772+5054+5291+5292+5580+5595+5970+6776	83	17	3.5074327710038413	4.846849849992857	4.258269847845497e-8	6.685483661117431e-6	10000;1277;1906;2152;3383;3552;3569;3717;3725;4772;5054;5291;5292;5580;5595;5970;6776	F3;PRKCD;IL6;AKT3;ICAM1;NFATC1;JAK2;RELA;SERPINE1;PIK3CB;EDN1;IL1A;PIM1;MAPK3;STAT5A;JUN;COL1A1
hsa04060	Cytokine-cytokine receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04060+1435+1440+23529+246778+2833+2921+3456+3552+3561+3569+3574+3600+3604+3606+3624+3976+414062+5618+56300+6352+6364+6368+6369+654+659+729230+7293+8740+958	257	29	10.860364122264906	2.670260377416527	9.373422296121703e-7	9.810848669940717e-5	1435;1440;23529;246778;2833;2921;3456;3552;3561;3569;3574;3600;3604;3606;3624;3976;414062;5618;56300;6352;6364;6368;6369;654;659;729230;7293;8740;958	CCL20;INHBA;CCL3L3;CSF1;CCL5;CLCF1;PRLR;IL6;CXCL3;IL7;TNFSF14;IL27;IL36G;IFNB1;TNFRSF4;IL15;IL2RG;CSF3;LIF;TNFRSF9;IL1A;BMP6;CCL24;CCL23;IL18;CCR2;CD40;CXCR3;BMPR2
hsa04657	IL-17 signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04657+10758+1440+29110+2921+3569+3725+4318+4792+5595+5743+5970+6364+7128+8061	79	14	3.3383998663771504	4.193625856806925	4.285841277873459e-6	3.364385403130665e-4	10758;1440;29110;2921;3569;3725;4318;4792;5595;5743;5970;6364;7128;8061	TNFAIP3;CCL20;TBK1;IL6;CXCL3;PTGS2;NFKBIA;TRAF3IP2;MMP9;RELA;CSF3;MAPK3;FOSL1;JUN
hsa05418	Fluid shear stress and atherosclerosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05418+10000+1535+1843+1906+2817+3383+3552+3725+4318+4688+5291+5562+5880+5970+6385+659+6714+7295	129	18	5.451311174210789	3.30195790054233	6.561091915657791e-6	3.7927849170641775e-4	10000;1535;1843;1906;2817;3383;3552;3725;4318;4688;5291;5562;5880;5970;6385;659;6714;7295	SDC4;AKT3;ICAM1;CYBA;SRC;MMP9;GPC1;RELA;NCF2;TXN;RAC2;PIK3CB;EDN1;IL1A;PRKAA1;JUN;DUSP1;BMPR2
hsa04062	Chemokine signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04062+10000+2791+2793+2833+2921+3717+414062+4792+5291+5580+5595+5829+5880+5970+6352+6364+6368+6369+6714+673+729230	169	21	7.141640220477702	2.940500970601305	7.247359714135371e-6	3.7927849170641775e-4	10000;2791;2793;2833;2921;3717;414062;4792;5291;5580;5595;5829;5880;5970;6352;6364;6368;6369;6714;673;729230	CCL20;CCL3L3;CCL5;PRKCD;AKT3;CXCL3;NFKBIA;SRC;JAK2;RELA;PXN;BRAF;RAC2;PIK3CB;GNGT2;MAPK3;CCL24;CCL23;CCR2;GNG11;CXCR3
hsa05167	Kaposi sarcoma-associated herpesvirus infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05167+10000+1827+2791+2793+29110+2921+3383+3456+3569+3717+3725+4772+4792+5291+5595+5743+5970+6714+718+7538	170	20	7.183898446634374	2.784003720065101	2.730323410160551e-5	0.001007778652670938	10000;1827;2791;2793;29110;2921;3383;3456;3569;3717;3725;4772;4792;5291;5595;5743;5970;6714;718;7538	TBK1;RCAN1;IL6;AKT3;CXCL3;ICAM1;PTGS2;NFKBIA;NFATC1;SRC;IFNB1;JAK2;RELA;PIK3CB;ZFP36;GNGT2;C3;MAPK3;GNG11;JUN
hsa04210	Apoptosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa04210+10000+1508+1647+3002+3725+4170+4616+4792+5291+5366+5595+597+5970+7185+824+835+840	130	17	5.493569400367463	3.0945272119185163	2.842573413475158e-5	0.001007778652670938	10000;1508;1647;3002;3725;4170;4616;4792;5291;5366;5595;597;5970;7185;824;835;840	TRAF1;AKT3;GADD45B;NFKBIA;PMAIP1;CAPN2;RELA;CTSB;MCL1;GZMB;BCL2A1;PIK3CB;GADD45A;MAPK3;JUN;CASP7;CASP2
hsa05132	Salmonella infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05132+10109+2921+3552+3569+3606+3725+3831+391+414062+4627+5595+5970+7879	81	13	3.422916318690496	3.7979310008295517	2.888537539502689e-5	0.001007778652670938	10109;2921;3552;3569;3606;3725;3831;391;414062;4627;5595;5970;7879	CCL3L3;IL6;CXCL3;RELA;RHOG;MYH9;IL1A;MAPK3;IL18;KLC1;RAB7A;JUN;ARPC2
hsa05134	Legionellosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05134+1915+2921+3303+3569+3606+4791+4792+5970+718+840	50	10	2.1129113078336395	4.732806324110673	3.500250100185731e-5	0.0010990785314583195	1915;2921;3303;3569;3606;4791;4792;5970;718;840	NFKB2;IL6;CXCL3;NFKBIA;EEF1A1;HSPA1A;RELA;C3;IL18;CASP7
