userId	geneSymbol	geneName	entrezgene	gLink
CCER2	CCER2	coiled-coil glutamate rich protein 2	643669	https://www.ncbi.nlm.nih.gov/gene/?term=643669
TSPAN32	TSPAN32	tetraspanin 32	10077	https://www.ncbi.nlm.nih.gov/gene/?term=10077
C11orf45	C11orf45	chromosome 11 open reading frame 45	219833	https://www.ncbi.nlm.nih.gov/gene/?term=219833
PLCXD1	PLCXD1	phosphatidylinositol specific phospholipase C X domain containing 1	55344	https://www.ncbi.nlm.nih.gov/gene/?term=55344
DCSTAMP	DCSTAMP	dendrocyte expressed seven transmembrane protein	81501	https://www.ncbi.nlm.nih.gov/gene/?term=81501
FAXDC2	FAXDC2	fatty acid hydroxylase domain containing 2	10826	https://www.ncbi.nlm.nih.gov/gene/?term=10826
FBP1	FBP1	fructose-bisphosphatase 1	2203	https://www.ncbi.nlm.nih.gov/gene/?term=2203
SGSH	SGSH	N-sulfoglucosamine sulfohydrolase	6448	https://www.ncbi.nlm.nih.gov/gene/?term=6448
H2AFY	H2AFY	H2A histone family member Y	9555	https://www.ncbi.nlm.nih.gov/gene/?term=9555
DPEP2	DPEP2	dipeptidase 2	64174	https://www.ncbi.nlm.nih.gov/gene/?term=64174
ZBED3	ZBED3	zinc finger BED-type containing 3	84327	https://www.ncbi.nlm.nih.gov/gene/?term=84327
DENND4C	DENND4C	DENN domain containing 4C	55667	https://www.ncbi.nlm.nih.gov/gene/?term=55667
MFSD3	MFSD3	major facilitator superfamily domain containing 3	113655	https://www.ncbi.nlm.nih.gov/gene/?term=113655
ACP5	ACP5	acid phosphatase 5, tartrate resistant	54	https://www.ncbi.nlm.nih.gov/gene/?term=54
DNASE2B	DNASE2B	deoxyribonuclease 2 beta	58511	https://www.ncbi.nlm.nih.gov/gene/?term=58511
RNU5F-1	RNU5F-1	RNA, U5F small nuclear 1	26828	https://www.ncbi.nlm.nih.gov/gene/?term=26828
RNVU1-15	RNVU1-15	RNA, variant U1 small nuclear 15	101954267	https://www.ncbi.nlm.nih.gov/gene/?term=101954267
ACACB	ACACB	acetyl-CoA carboxylase beta	32	https://www.ncbi.nlm.nih.gov/gene/?term=32
MIR5087	MIR5087	microRNA 5087	100847044	https://www.ncbi.nlm.nih.gov/gene/?term=100847044
STX18	STX18	syntaxin 18	53407	https://www.ncbi.nlm.nih.gov/gene/?term=53407
FUOM	FUOM	fucose mutarotase	282969	https://www.ncbi.nlm.nih.gov/gene/?term=282969
MYC	MYC	MYC proto-oncogene, bHLH transcription factor	4609	https://www.ncbi.nlm.nih.gov/gene/?term=4609
SLC6A6	SLC6A6	solute carrier family 6 member 6	6533	https://www.ncbi.nlm.nih.gov/gene/?term=6533
