geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
GO:0098542	defense response to other organism	http://amigo.geneontology.org/amigo/term/GO:0098542	378	53	11.720491312162972	4.521994734555121	0	0	944;1535;1672;2537;2635;3133;3428;3433;3434;3437;3456;3569;3600;3665;4939;4940;5366;5580;5970;6041;6364;6772;7128;8638;8772;9447;9636;10133;10346;10379;10521;10758;10964;23586;24138;29110;51191;51251;55601;55666;55718;56829;64135;79132;81844;84166;85363;91543;133396;148022;151636;246778;100507436	IL6;CCL20;TNFAIP3;IFI44L;IL27;IL15;OASL;TRAF3IP2;ISG15;RSAD2;HERC5;OAS2;NT5C3A;ZC3HAV1;RELA;IFIT5;TBK1;DDX60;IFIT2;IFIH1;PRKCD;IRF9;PMAIP1;IFIT1;DHX58;HLA-E;CYBA;IRF7;OPTN;DDX58;IFIT3;NPLOC4;IFI6;AIM2;NLRC5;OAS3;TRIM22;TNFSF8;MICA;RNASEL;DEFB1;STAT1;IFI16;DTX3L;GBP3;POLR3E;IFNB1;TRIM5;FADD;IL31RA;TICAM1;DDX17;TRIM56
GO:0031349	positive regulation of defense response	http://amigo.geneontology.org/amigo/term/GO:0031349	373	50	11.565458358298383	4.3232181942987395	0	0	718;1520;1535;2069;3133;3303;3428;3456;3569;3600;3620;3656;3665;3717;4792;5580;5743;5970;6352;7128;7316;8600;8772;9447;10125;10133;10211;10318;23180;23586;29110;54726;55601;55666;57162;64135;64332;79132;79931;80328;84166;85363;91543;92610;115362;118788;148022;285852;414062;100507436	FLOT1;IL6;IDO1;TNFAIP3;CCL3L3;CCL5;IL15;GBP5;RSAD2;PTGS2;RELA;TBK1;TNIP3;DDX60;IFIH1;PRKCD;TREML4;TNIP1;DHX58;HLA-E;HSPA1A;CYBA;IRF7;OPTN;C3;DDX58;UBC;PELI1;NPLOC4;IRAK2;AIM2;PIK3AP1;NLRC5;EREG;NFKBIA;RFTN1;OTUD4;MICA;NFKBIZ;TIFA;RASGRP1;IFI16;JAK2;TNFSF11;IFNB1;CTSS;TRIM5;ULBP2;FADD;TICAM1
GO:0045088	regulation of innate immune response	http://amigo.geneontology.org/amigo/term/GO:0045088	326	51	10.10814859197124	5.045434338045701	0	0	1520;1535;2069;3133;3303;3428;3456;3656;3665;3717;4792;5272;5580;5970;6041;6352;6772;7128;7316;8651;8772;9021;9111;9437;9447;10125;10211;10318;11274;23180;23586;29110;51752;54625;54726;55601;55666;57162;64135;79132;79931;80328;84166;85363;91543;92610;115362;118788;148022;285852;100507436	FLOT1;TNFAIP3;CCL5;GBP5;PARP14;RSAD2;RELA;TBK1;TNIP3;DDX60;IFIH1;PRKCD;TREML4;TNIP1;DHX58;HLA-E;HSPA1A;CYBA;IRF7;DDX58;SERPINB9;UBC;PELI1;SOCS1;NPLOC4;IRAK2;SOCS3;AIM2;PIK3AP1;NLRC5;EREG;NFKBIA;RFTN1;OTUD4;MICA;RNASEL;TIFA;USP18;NCR1;RASGRP1;STAT1;IFI16;JAK2;IFNB1;CTSS;TRIM5;ULBP2;ERAP1;FADD;NMI;TICAM1
GO:0009615	response to virus	http://amigo.geneontology.org/amigo/term/GO:0009615	279	49	8.650838825644097	5.664190604817066	0	0	2537;2635;3428;3433;3434;3437;3456;3569;3600;3665;4939;4940;5366;5970;6041;6352;6355;6772;7128;8061;8638;8772;9447;9636;10346;10379;10521;10561;10758;10964;23586;24138;29110;51191;51251;55601;55666;55718;56829;64135;79132;81844;84166;85363;91543;148022;151636;246778;100507436	IL6;TNFAIP3;IFI44L;CCL5;IL27;IL15;OASL;TRAF3IP2;ISG15;RSAD2;HERC5;OAS2;NT5C3A;ZC3HAV1;RELA;IFIT5;TBK1;DDX60;IFIT2;IFIH1;IRF9;PMAIP1;IFIT1;DHX58;IRF7;DDX58;IFIT3;NPLOC4;IFI6;AIM2;NLRC5;OAS3;TRIM22;IFI44;MICA;CCL8;RNASEL;STAT1;IFI16;DTX3L;GBP3;POLR3E;IFNB1;FOSL1;TRIM5;FADD;TICAM1;DDX17;TRIM56
GO:0051607	defense response to virus	http://amigo.geneontology.org/amigo/term/GO:0051607	203	45	6.294337926902337	7.14928250160634	0	0	2537;2635;3428;3433;3434;3437;3456;3569;3600;3665;4939;4940;5366;5970;6041;6772;7128;8638;8772;9447;9636;10346;10379;10521;10758;10964;23586;24138;29110;51191;51251;55601;55666;55718;56829;64135;79132;81844;84166;85363;91543;148022;151636;246778;100507436	IL6;TNFAIP3;IFI44L;IL27;IL15;OASL;TRAF3IP2;ISG15;RSAD2;HERC5;OAS2;NT5C3A;ZC3HAV1;RELA;IFIT5;TBK1;DDX60;IFIT2;IFIH1;IRF9;PMAIP1;IFIT1;DHX58;IRF7;DDX58;IFIT3;NPLOC4;IFI6;AIM2;NLRC5;OAS3;TRIM22;MICA;RNASEL;STAT1;IFI16;DTX3L;GBP3;POLR3E;IFNB1;TRIM5;FADD;TICAM1;DDX17;TRIM56
GO:0045089	positive regulation of innate immune response	http://amigo.geneontology.org/amigo/term/GO:0045089	273	40	8.46479928100659	4.725451681973421	2.220446049250313e-16	1.634803403760543e-13	1520;1535;2069;3133;3303;3428;3456;3656;3665;4792;5580;5970;6352;7128;7316;8772;9447;10125;10211;10318;23180;23586;29110;54726;55601;55666;57162;64135;79132;79931;80328;84166;85363;91543;92610;115362;118788;148022;285852;100507436	FLOT1;TNFAIP3;CCL5;GBP5;RSAD2;RELA;TBK1;TNIP3;DDX60;IFIH1;PRKCD;TREML4;TNIP1;DHX58;HLA-E;HSPA1A;CYBA;IRF7;DDX58;UBC;PELI1;NPLOC4;IRAK2;AIM2;PIK3AP1;NLRC5;EREG;NFKBIA;RFTN1;OTUD4;MICA;TIFA;RASGRP1;IFI16;IFNB1;CTSS;TRIM5;ULBP2;FADD;TICAM1
GO:0071346	cellular response to interferon-gamma	http://amigo.geneontology.org/amigo/term/GO:0071346	160	31	4.961054523666866	6.248671497584541	2.220446049250313e-16	1.634803403760543e-13	567;960;1906;2634;3133;3134;3383;3665;3717;4502;4939;4940;5580;6352;6355;6364;6737;6772;8638;8651;9021;9076;9111;10346;10379;54625;84166;85363;115361;115362;414062	CCL20;CCL3L3;CCL5;GBP5;PARP14;OASL;CD44;OAS2;PRKCD;IRF9;EDN1;HLA-E;IRF7;GBP2;SOCS1;ICAM1;SOCS3;NLRC5;TRIM21;OAS3;TRIM22;HLA-F;CCL8;STAT1;GBP4;JAK2;MT2A;TRIM5;NMI;CLDN1;B2M
GO:0060333	interferon-gamma-mediated signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0060333	81	23	2.511533852606351	9.157750342935529	2.220446049250313e-16	1.634803403760543e-13	567;960;2634;3133;3134;3383;3665;3717;4502;4939;4940;5580;6737;6772;8638;8651;9021;9111;10346;10379;54625;84166;85363	PARP14;OASL;CD44;OAS2;PRKCD;IRF9;HLA-E;IRF7;GBP2;SOCS1;ICAM1;SOCS3;NLRC5;TRIM21;OAS3;TRIM22;HLA-F;STAT1;JAK2;MT2A;TRIM5;NMI;B2M
GO:0034340	response to type I interferon	http://amigo.geneontology.org/amigo/term/GO:0034340	80	22	2.480527261833433	8.869082125603866	1.9984014443252818e-15	1.3078427230084344e-12	2537;2634;3133;3134;3433;3434;3437;3456;3665;4939;4940;6041;6772;8638;8772;9636;10379;11274;54739;81844;84166;91543	OASL;ISG15;RSAD2;OAS2;IFIT2;IRF9;IFIT1;XAF1;HLA-E;IRF7;GBP2;IFIT3;IFI6;NLRC5;OAS3;HLA-F;RNASEL;USP18;STAT1;IFNB1;FADD;TRIM56
GO:0034341	response to interferon-gamma	http://amigo.geneontology.org/amigo/term/GO:0034341	179	31	5.550179748352306	5.585404690578361	4.440892098500626e-15	2.615685446016869e-12	567;960;1906;2634;3133;3134;3383;3665;3717;4502;4939;4940;5580;6352;6355;6364;6737;6772;8638;8651;9021;9076;9111;10346;10379;54625;84166;85363;115361;115362;414062	CCL20;CCL3L3;CCL5;GBP5;PARP14;OASL;CD44;OAS2;PRKCD;IRF9;EDN1;HLA-E;IRF7;GBP2;SOCS1;ICAM1;SOCS3;NLRC5;TRIM21;OAS3;TRIM22;HLA-F;CCL8;STAT1;GBP4;JAK2;MT2A;TRIM5;NMI;CLDN1;B2M
