userId	geneSymbol	geneName	entrezgene	score	gLink
A2M	A2M	alpha-2-macroglobulin	2	-1.9896110084932e-4	https://www.ncbi.nlm.nih.gov/gene/?term=2
AAAS	AAAS	aladin WD repeat nucleoporin	8086	0.0877902443563205	https://www.ncbi.nlm.nih.gov/gene/?term=8086
AACS	AACS	acetoacetyl-CoA synthetase	65985	0.286167632041006	https://www.ncbi.nlm.nih.gov/gene/?term=65985
AADAT	AADAT	aminoadipate aminotransferase	51166	0.0843080549280949	https://www.ncbi.nlm.nih.gov/gene/?term=51166
AAGAB	AAGAB	alpha and gamma adaptin binding protein	79719	0.0766873130271206	https://www.ncbi.nlm.nih.gov/gene/?term=79719
AAK1	AAK1	AP2 associated kinase 1	22848	0.0810632681191169	https://www.ncbi.nlm.nih.gov/gene/?term=22848
AAMP	AAMP	angio associated migratory cell protein	14	0.00352830672385932	https://www.ncbi.nlm.nih.gov/gene/?term=14
AAR2	AAR2	AAR2 splicing factor homolog	25980	0.0360401479174459	https://www.ncbi.nlm.nih.gov/gene/?term=25980
AARD	AARD	alanine and arginine rich domain containing protein	441376	-0.240022643716099	https://www.ncbi.nlm.nih.gov/gene/?term=441376
AARS	AARS	alanyl-tRNA synthetase	16	-0.0118999792014402	https://www.ncbi.nlm.nih.gov/gene/?term=16
AARS2	AARS2	alanyl-tRNA synthetase 2, mitochondrial	57505	0.0379184351152406	https://www.ncbi.nlm.nih.gov/gene/?term=57505
AARSD1	AARSD1	alanyl-tRNA synthetase domain containing 1	80755	0.0964490610967195	https://www.ncbi.nlm.nih.gov/gene/?term=80755
AASDHPPT	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	60496	-0.0432296089186956	https://www.ncbi.nlm.nih.gov/gene/?term=60496
AASS	AASS	aminoadipate-semialdehyde synthase	10157	-0.0950285246110594	https://www.ncbi.nlm.nih.gov/gene/?term=10157
AATF	AATF	apoptosis antagonizing transcription factor	26574	0.169406622640516	https://www.ncbi.nlm.nih.gov/gene/?term=26574
ABCA1	ABCA1	ATP binding cassette subfamily A member 1	19	-0.178492788493898	https://www.ncbi.nlm.nih.gov/gene/?term=19
ABCA11P	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	79963	-0.0754041077721991	https://www.ncbi.nlm.nih.gov/gene/?term=79963
ABCA13	ABCA13	ATP binding cassette subfamily A member 13	154664	0.0243911390954211	https://www.ncbi.nlm.nih.gov/gene/?term=154664
ABCA3	ABCA3	ATP binding cassette subfamily A member 3	21	0.265091707838257	https://www.ncbi.nlm.nih.gov/gene/?term=21
ABCA5	ABCA5	ATP binding cassette subfamily A member 5	23461	0.14212273117146	https://www.ncbi.nlm.nih.gov/gene/?term=23461
ABCA7	ABCA7	ATP binding cassette subfamily A member 7	10347	0.0447412070197416	https://www.ncbi.nlm.nih.gov/gene/?term=10347
ABCB10	ABCB10	ATP binding cassette subfamily B member 10	23456	0.262609808870813	https://www.ncbi.nlm.nih.gov/gene/?term=23456
ABCB4	ABCB4	ATP binding cassette subfamily B member 4	5244	-0.0993808804858634	https://www.ncbi.nlm.nih.gov/gene/?term=5244
ABCB6	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	10058	0.00490804520313269	https://www.ncbi.nlm.nih.gov/gene/?term=10058
ABCB7	ABCB7	ATP binding cassette subfamily B member 7	22	-0.112642345616926	https://www.ncbi.nlm.nih.gov/gene/?term=22
ABCB8	ABCB8	ATP binding cassette subfamily B member 8	11194	-0.151811617449025	https://www.ncbi.nlm.nih.gov/gene/?term=11194
ABCB9	ABCB9	ATP binding cassette subfamily B member 9	23457	0.381713698635997	https://www.ncbi.nlm.nih.gov/gene/?term=23457
ABCC1	ABCC1	ATP binding cassette subfamily C member 1	4363	0.0256869671568072	https://www.ncbi.nlm.nih.gov/gene/?term=4363
ABCC10	ABCC10	ATP binding cassette subfamily C member 10	89845	-0.1208692793411	https://www.ncbi.nlm.nih.gov/gene/?term=89845
ABCC13	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	150000	-0.112077457797637	https://www.ncbi.nlm.nih.gov/gene/?term=150000
ABCC3	ABCC3	ATP binding cassette subfamily C member 3	8714	0.0669030876276985	https://www.ncbi.nlm.nih.gov/gene/?term=8714
ABCC5	ABCC5	ATP binding cassette subfamily C member 5	10057	0.0740628775517815	https://www.ncbi.nlm.nih.gov/gene/?term=10057
ABCC5-AS1	ABCC5-AS1	ABCC5 antisense RNA 1	100873982	0.252549364866569	https://www.ncbi.nlm.nih.gov/gene/?term=100873982
ABCC6	ABCC6	ATP binding cassette subfamily C member 6	368	0.00307057691823023	https://www.ncbi.nlm.nih.gov/gene/?term=368
ABCC9	ABCC9	ATP binding cassette subfamily C member 9	10060	0.089182403876638	https://www.ncbi.nlm.nih.gov/gene/?term=10060
ABCD2	ABCD2	ATP binding cassette subfamily D member 2	225	-0.0159286508101162	https://www.ncbi.nlm.nih.gov/gene/?term=225
ABCD4	ABCD4	ATP binding cassette subfamily D member 4	5826	0.201161385309398	https://www.ncbi.nlm.nih.gov/gene/?term=5826
ABCF1	ABCF1	ATP binding cassette subfamily F member 1	23	-0.104189868881887	https://www.ncbi.nlm.nih.gov/gene/?term=23
ABCF2	ABCF2	ATP binding cassette subfamily F member 2	10061	0.0898210323307395	https://www.ncbi.nlm.nih.gov/gene/?term=10061
ABCF3	ABCF3	ATP binding cassette subfamily F member 3	55324	-0.0576254003281624	https://www.ncbi.nlm.nih.gov/gene/?term=55324
ABCG2	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	9429	0.03466051571814	https://www.ncbi.nlm.nih.gov/gene/?term=9429
ABHD1	ABHD1	abhydrolase domain containing 1	84696	0.070170483084254	https://www.ncbi.nlm.nih.gov/gene/?term=84696
ABHD10	ABHD10	abhydrolase domain containing 10	55347	-0.165331781215453	https://www.ncbi.nlm.nih.gov/gene/?term=55347
ABHD11	ABHD11	abhydrolase domain containing 11	83451	0.249304911504636	https://www.ncbi.nlm.nih.gov/gene/?term=83451
ABHD12B	ABHD12B	abhydrolase domain containing 12B	145447	0.0787263252250416	https://www.ncbi.nlm.nih.gov/gene/?term=145447
ABHD13	ABHD13	abhydrolase domain containing 13	84945	0.160654511485941	https://www.ncbi.nlm.nih.gov/gene/?term=84945
ABHD14A-ACY1	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	100526760	-0.0404673914443487	https://www.ncbi.nlm.nih.gov/gene/?term=100526760
ABHD16A	ABHD16A	abhydrolase domain containing 16A	7920	0.242639834062505	https://www.ncbi.nlm.nih.gov/gene/?term=7920
ABHD17B	ABHD17B	abhydrolase domain containing 17B	51104	-0.104848307896571	https://www.ncbi.nlm.nih.gov/gene/?term=51104
ABHD17C	ABHD17C	abhydrolase domain containing 17C	58489	0.321823912783299	https://www.ncbi.nlm.nih.gov/gene/?term=58489
ABHD2	ABHD2	abhydrolase domain containing 2	11057	-0.160941282574687	https://www.ncbi.nlm.nih.gov/gene/?term=11057
ABHD3	ABHD3	abhydrolase domain containing 3	171586	0.0754570375046318	https://www.ncbi.nlm.nih.gov/gene/?term=171586
ABHD4	ABHD4	abhydrolase domain containing 4	63874	0.231200946963724	https://www.ncbi.nlm.nih.gov/gene/?term=63874
ABHD5	ABHD5	abhydrolase domain containing 5	51099	0.209739631205859	https://www.ncbi.nlm.nih.gov/gene/?term=51099
