geneSet	description	link	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	size	plotPath	leadingEdgeNum	leadingEdgeId	userId
hsa04727	GABAergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?hsa04727+3763+27165+2793+115+6714+5579+5578+2791+2782+94235+2790	0.6508855087460996	1.91264212192472	0	0.020879562884995186	29	./Project_IK_4_vs_C_4_gsea_GSEA/hsa04727.png	11	3763;27165;2793;115;6714;5579;5578;2791;2782;94235;2790	ADCY9;GLS2;GNB1;GNG10;GNG11;GNG8;GNGT2;KCNJ6;PRKCA;PRKCB;SRC
hsa05032	Morphine addiction	http://www.kegg.jp/kegg-bin/show_pathway?hsa05032+3763+5136+27115+2793+115+5579+5578+2791+2782+2869+94235+2790	0.6100477435976775	1.8370053745214947	0	0.05077530065214738	30	./Project_IK_4_vs_C_4_gsea_GSEA/hsa05032.png	12	3763;5136;27115;2793;115;5579;5578;2791;2782;2869;94235;2790	ADCY9;GNB1;GNG10;GNG11;GNG8;GNGT2;GRK5;KCNJ6;PDE1A;PDE7B;PRKCA;PRKCB
hsa04724	Glutamatergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?hsa04724+5338+27165+5331+2793+115+2900+5337+5579+5578+116444+5330+2791+7220+2782	0.5200400469360418	1.6778179425267024	0.002666666663111111	0.2869358111619793	45	./Project_IK_4_vs_C_4_gsea_GSEA/hsa04724.png	14	5338;27165;5331;2793;115;2900;5337;5579;5578;116444;5330;2791;7220;2782	ADCY9;GLS2;GNB1;GNG11;GNGT2;GRIK4;GRIN3B;PLCB2;PLCB3;PLD1;PLD2;PRKCA;PRKCB;TRPC1
hsa04350	TGF-beta signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04350+1387+3625+4090+652+91+353500+7027+7057+130399+4086+657+2033+3399+3624+57154+7046+25805+4052+4091+1030+9241+6199	0.4869326195482117	1.6178113584156382	0.0038167938882737993	0.33995724660933074	52	./Project_IK_4_vs_C_4_gsea_GSEA/hsa04350.png	22	1387;3625;4090;652;91;353500;7027;7057;130399;4086;657;2033;3399;3624;57154;7046;25805;4052;4091;1030;9241;6199	ACVR1B;ACVR1C;BAMBI;BMP4;BMP8A;BMPR1A;CDKN2B;CREBBP;EP300;ID3;INHBA;INHBB;LTBP1;NOG;RPS6KB2;SMAD1;SMAD5;SMAD6;SMURF1;TFDP1;TGFBR1;THBS1
hsa04726	Serotonergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?hsa04726+3763+5331+121278+6532+2793+5579+5578+5330+2791+7220+2782+3356+94235+673+2790+3845+8681	0.47755896244314744	1.573025863856347	0.012903225789802289	0.37813701874189337	49	./Project_IK_4_vs_C_4_gsea_GSEA/hsa04726.png	17	3763;5331;121278;6532;2793;5579;5578;5330;2791;7220;2782;3356;94235;673;2790;3845;8681	BRAF;GNB1;GNG10;GNG11;GNG8;GNGT2;HTR2A;JMJD7-PLA2G4B;KCNJ6;KRAS;PLCB2;PLCB3;PRKCA;PRKCB;SLC6A4;TPH2;TRPC1
hsa05320	Autoimmune thyroid disease	http://www.kegg.jp/kegg-bin/show_pathway?hsa05320+3586+3127+3123+3117+3002	-0.46398802890815083	-1.3644035359151447	0.11898016963461708	0.3790128982381902	17	./Project_IK_4_vs_C_4_gsea_GSEA/hsa05320.png	5	3586;3127;3123;3117;3002	GZMB;HLA-DQA1;HLA-DRB1;HLA-DRB5;IL10
hsa05134	Legionellosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa05134+29108+834+929+3606+718+3684+3303+4792+3310+2921	-0.37105840956352826	-1.3532279865053314	0.08914728647617332	0.3819100664728691	37	./Project_IK_4_vs_C_4_gsea_GSEA/hsa05134.png	10	29108;834;929;3606;718;3684;3303;4792;3310;2921	C3;CASP1;CD14;CXCL3;HSPA1A;HSPA6;IL18;ITGAM;NFKBIA;PYCARD
hsa04742	Taste transduction	http://www.kegg.jp/kegg-bin/show_pathway?hsa04742+5136+342372+1131+5330+80835	0.6425286691297651	1.6281652775656092	0.018348623825155008	0.3829501647316162	14	./Project_IK_4_vs_C_4_gsea_GSEA/hsa04742.png	5	5136;342372;1131;5330;80835	CHRM3;PDE1A;PKD1L3;PLCB2;TAS1R1
hsa00982	Drug metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00982+27306+128+316+4257+373156+4128+2330	-0.4285887888506257	-1.3098352889684979	0.1327160489730986	0.3939566557054452	18	./Project_IK_4_vs_C_4_gsea_GSEA/hsa00982.png	7	27306;128;316;4257;373156;4128;2330	ADH5;AOX1;FMO5;GSTK1;HPGDS;MAOA;MGST1
hsa05330	Allograft rejection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05330+3586+3127+3123+3117+3002	-0.4660130788660553	-1.367105617776089	0.11014492721697122	0.3966487976563453	17	./Project_IK_4_vs_C_4_gsea_GSEA/hsa05330.png	5	3586;3127;3123;3117;3002	GZMB;HLA-DQA1;HLA-DRB1;HLA-DRB5;IL10
