#id: 'mlib_peak_annotation'
#section_name: 'MERGED LIB: HOMER peak annotation'
#description: "is generated by calculating the proportion of peaks assigned to genomic features by
#              <a href='http://homer.ucsd.edu/homer/ngs/annotation.html' target='_blank'>HOMER annotatePeaks.pl</a>."
#plot_type: 'bargraph'
#anchor: 'mlib_peak_annotation'
#pconfig:
#    title: 'Peak to feature proportion'
#    ylab: 'Peak count'
sample	exon	Intergenic	intron	promoter-TSS	TTS	Unassigned
C0_R1	3634	23780	27109	9084	1172	80
C0_R2	4414	30908	38219	9605	1711	43
C1_R1	3294	21138	23177	8864	994	106
C1_R2	4067	27320	32759	9299	1426	88
C24_R1	3875	25903	31602	9470	1350	55
C24_R2	3387	23656	29020	9203	1200	33
C4_R1	2925	17432	19550	8629	930	95
C4_R2	3599	24973	29736	9105	1288	49
IK0_R1	3731	26820	30301	9331	1284	83
IK0_R2	4414	30759	37508	9619	1629	47
IK1_R1	3453	23536	25254	8904	1103	113
IK1_R2	3921	28446	32319	9271	1315	88
IK24_R1	3803	26509	31523	9603	1338	71
IK24_R2	4264	28417	35408	9631	1491	42
IK4_R1	3292	20331	22538	8784	1034	111
IK4_R2	4029	27247	32518	9088	1399	60
