Min.	1st Qu.	Median	Mean	3rd Qu.	Max.	num_peaks	measure	sample
1.56177	3.08339	3.8354	4.2203926761128	5.01268	18.1923	64859	fold	C0_R1
1.00619	2.826525	5.89733	11.6923884888759	13.6613	3331.81	64859	-log10(qvalue)	C0_R1
2.83682	4.81347	8.01688	13.8868330094513	15.9803	3338.51	64859	-log10(pvalue)	C0_R1
238	415	652	778.159623182596	992	4972	64859	length	C0_R1
1.58511	2.87559	3.55074	3.89965692720546	4.61137	16.8083	57573	fold	C1_R1
1.00614	2.20202	4.84157	9.71377235631286	11.6452	476.098	57573	-log10(qvalue)	C1_R1
2.88611	4.22779	7.00915	11.9615576065169	14.0309	480.906	57573	-log10(pvalue)	C1_R1
267	436	670	801.209177913258	1014	8022	57573	length	C1_R1
1.61753	3.3959	4.18199	4.49412630580911	5.297665	21.3697	66499	fold	C24_R2
1.01345	3.18579	6.08975	10.8231418117566	12.943	616.51	66499	-log10(qvalue)	C24_R2
2.79481	5.151385	8.18736	12.9974095248049	15.24995	621.377	66499	-log10(pvalue)	C24_R2
293	481	703	856.321147686431	1054	5975	66499	length	C24_R2
1.53721	2.976975	3.76805	4.1631883695318	4.9822125	17.4526	71550	fold	IK0_R1
1.00685	2.4150325	5.408405	11.376862084696	13.092325	3616.52	71550	-log10(qvalue)	IK0_R1
2.79812	4.3567625	7.488375	13.5308981842068	15.375975	3623.26	71550	-log10(pvalue)	IK0_R1
242	413	645	771.455988819008	981	4956	71550	length	IK0_R1
1.53037	2.758615	3.30781	3.6487598819813	4.254695	17.3665	62363	fold	IK1_R1
1.00086	1.843785	4.00693	7.79781008610875	9.48802	2297.44	62363	-log10(qvalue)	IK1_R1
2.88629	3.863885	6.17848	10.0452346399307	11.8799	2304.09	62363	-log10(pvalue)	IK1_R1
254	405	626	755.829498260186	963	5020	62363	length	IK1_R1
1.44906	2.90202	3.58232	3.92010542890195	4.64102	24.3769	74341	fold	IK4_R2
1.01471	2.76383	5.80414	12.6087516427005	14.2983	1357.36	74341	-log10(qvalue)	IK4_R2
2.71989	4.62626	7.79825	14.6787154505589	16.489	1362.65	74341	-log10(pvalue)	IK4_R2
280	502	780	926.771794837304	1171	8732	74341	length	IK4_R2
1.51342	2.8766875	3.53261	3.86393764895703	4.575765	15.5112	56090	fold	IK4_R1
1.0059	2.5289275	5.42766	11.0540123888394	13.1769	400.531	56090	-log10(qvalue)	IK4_R1
2.86549	4.54371	7.584985	13.2840442151899	15.538575	405.041	56090	-log10(pvalue)	IK4_R1
287	475	721	862.140969869852	1083	6654	56090	length	IK4_R1
1.54075	2.97385	3.61585	3.93193462722705	4.61513	15.8502	49561	fold	C4_R1
1.00797	2.39167	4.99777	9.45858800669882	11.4679	426.042	49561	-log10(qvalue)	C4_R1
2.93945	4.48047	7.23519	11.7681139684429	13.9278	430.874	49561	-log10(pvalue)	C4_R1
285	457	685	818.517140493533	1023	5747	49561	length	C4_R1
1.43538	3.18491	4.07473	4.410279848315	5.35468	21.2062	72255	fold	C24_R1
1.00834	3.96927	8.92864	18.1409298639541	21.752	481.184	72255	-log10(qvalue)	C24_R1
2.73734	5.866485	10.9586	20.2459335150509	23.98685	485.85	72255	-log10(pvalue)	C24_R1
266	470	735	876.640426268078	1112	7457	72255	length	C24_R1
1.53961	2.9723975	3.67895	4.02361845143312	4.759855	25.4942	75360	fold	IK1_R2
1.00943	2.79831	5.78745	12.0142975440552	13.615475	3253.95	75360	-log10(qvalue)	IK1_R2
2.74592	4.69368	7.816345	14.115470013535	15.8492	3260.17	75360	-log10(pvalue)	IK1_R2
255	452	713	849.669957537155	1081	6456	75360	length	IK1_R2
1.49817	2.99668	3.721	4.0785927013434	4.85117	26.7903	74959	fold	C1_R2
1.0056	3.21775	6.65326	13.5736799230246	15.86585	2721.51	74959	-log10(qvalue)	C1_R2
2.73565	5.10648	8.67086	15.6637432184261	18.0731	2727.6	74959	-log10(pvalue)	C1_R2
240	449	719	860.395269413946	1106	6200	74959	length	C1_R2
1.45569	3.004075	3.810925	4.18189085036201	5.0275575	27.8985	83976	fold	IK0_R2
1.0005	3.63589	7.95775	17.5913036166286	19.85895	3352.26	83976	-log10(qvalue)	IK0_R2
2.66388	5.458	9.90573	19.6132580001429	22.0117	3358.71	83976	-log10(pvalue)	IK0_R2
242	465	744	882.22760074307	1125	8136	83976	length	IK0_R2
1.55822	3.1829925	3.911285	4.26994773309091	5.0283975	23.5196	68750	fold	C4_R2
1.00395	2.6453125	5.234285	10.1526478149818	11.849975	2479.71	68750	-log10(qvalue)	C4_R2
2.79761	4.60641	7.325255	12.3207342273455	14.154275	2486.32	68750	-log10(pvalue)	C4_R2
261	444	669	811.577076363636	1016	5806	68750	length	C4_R2
1.45293	3.03481	3.77247	4.07135857153672	4.8574	23.7862	79253	fold	IK24_R2
1.00943	3.75463	7.81432	16.1757242493029	18.7281	962.601	79253	-log10(qvalue)	IK24_R2
2.66747	5.58782	9.77602	18.2111459408477	20.8873	967.305	79253	-log10(pvalue)	IK24_R2
293	530	805	958.171690661552	1197	6897	79253	length	IK24_R2
1.47132	3.148855	4.01955	4.36014624239845	5.27966	18.7263	72847	fold	IK24_R1
