## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[C1_R2.sorted.bam] OUTPUT=C1_R2.mLb.mkD.sorted.bam METRICS_FILE=C1_R2.mLb.mkD.MarkDuplicates.metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true TMP_DIR=[tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 24 20:31:44 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
C1_R2_T1	106441	30248904	0	1563033	42699	7962929	363272	0.263489	48309260
C1_R2_T2	96101	32794349	0	1523923	41941	8361009	415783	0.255218	54671339

## HISTOGRAM	java.lang.Double
set_size	all_sets	optical_sets	non_optical_sets
1.0	37421519	0	37907808
2.0	7180708	733011	6877003
3.0	1346020	20752	1211413
4.0	308383	1148	273675
5.0	113549	153	105731
6.0	64730	46	62690
7.0	45204	12	44429
8.0	34278	9	33913
9.0	27048	1	26763
10.0	21212	2	21068
11.0	17828	0	17593
12.0	14657	0	14503
13.0	12349	0	12208
14.0	10621	1	10500
15.0	9153	0	9097
16.0	7915	0	7779
17.0	6936	0	6892
18.0	6097	0	6028
19.0	5421	0	5316
20.0	4726	0	4684
21.0	4219	1	4183
22.0	3867	0	3893
23.0	3511	0	3424
24.0	3166	0	3170
25.0	2902	0	2835
26.0	2661	0	2627
27.0	2403	0	2378
28.0	2217	0	2151
29.0	2049	0	2067
30.0	1890	0	1870
31.0	1634	0	1611
32.0	1560	0	1563
33.0	1503	0	1478
34.0	1391	0	1359
35.0	1241	0	1245
36.0	1226	0	1178
37.0	1072	0	1088
38.0	1086	0	1081
39.0	982	0	927
40.0	927	0	892
41.0	850	0	852
42.0	786	0	792
43.0	768	0	739
44.0	700	0	717
45.0	641	0	629
46.0	644	0	635
47.0	608	0	579
48.0	535	0	552
49.0	538	0	531
50.0	536	0	515
51.0	489	0	486
52.0	481	0	490
53.0	449	0	439
54.0	404	0	364
55.0	392	0	426
56.0	376	0	369
57.0	368	0	341
58.0	314	0	321
59.0	318	0	328
60.0	310	0	279
61.0	306	1	326
62.0	293	0	286
63.0	266	0	268
64.0	270	0	258
65.0	248	0	266
66.0	264	0	233
67.0	253	0	237
68.0	221	0	231
69.0	210	0	189
70.0	180	0	199
71.0	193	0	177
72.0	186	0	202
73.0	177	0	168
74.0	173	0	163
75.0	150	0	179
76.0	162	0	146
77.0	168	0	157
78.0	148	0	147
79.0	155	0	142
80.0	133	0	132
81.0	134	0	122
82.0	133	0	144
83.0	107	0	120
84.0	126	0	110
85.0	117	0	119
86.0	121	0	116
87.0	112	0	123
88.0	122	0	110
89.0	99	0	97
90.0	82	0	76
91.0	88	0	76
92.0	81	0	80
93.0	76	0	88
94.0	94	0	99
95.0	89	0	81
96.0	73	0	63
