## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[IK4_R1.sorted.bam] OUTPUT=IK4_R1.mLb.mkD.sorted.bam METRICS_FILE=IK4_R1.mLb.mkD.MarkDuplicates.metrics.txt REMOVE_DUPLICATES=false ASSUME_SORTED=true TMP_DIR=[tmp] VALIDATION_STRINGENCY=LENIENT    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 24 20:30:46 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
IK4_R1_T1	118428	31554942	0	1905348	43276	8342030	455382	0.264555	50441437
IK4_R1_T2	68679	22603916	0	1482551	23563	5509441	282674	0.243889	39888230

## HISTOGRAM	java.lang.Double
set_size	all_sets	optical_sets	non_optical_sets
1.0	32512240	0	32982237
2.0	5981330	690665	5682576
3.0	1125234	21693	998667
4.0	268627	1067	236082
5.0	103283	97	95964
6.0	60218	16	58371
7.0	42190	8	41586
8.0	31607	0	31227
9.0	24969	0	24677
10.0	19696	1	19535
11.0	16316	1	16190
12.0	13440	1	13216
13.0	11345	0	11330
14.0	9581	0	9396
15.0	8404	0	8340
16.0	7112	1	7055
17.0	6203	0	6154
18.0	5346	0	5236
19.0	4877	0	4874
20.0	4252	0	4193
21.0	3765	0	3710
22.0	3335	0	3323
23.0	3117	0	3077
24.0	2723	0	2641
25.0	2471	0	2495
26.0	2323	0	2287
27.0	2154	0	2142
28.0	1905	0	1885
29.0	1730	0	1727
30.0	1606	0	1578
31.0	1511	0	1460
32.0	1357	0	1340
33.0	1253	0	1230
34.0	1162	0	1185
35.0	1109	0	1110
36.0	1087	0	1048
37.0	927	0	913
38.0	866	1	878
39.0	803	0	799
40.0	766	0	735
41.0	710	0	721
42.0	664	0	611
43.0	627	0	647
44.0	591	0	568
45.0	560	0	586
46.0	537	0	493
47.0	459	0	468
48.0	471	0	471
49.0	472	1	454
50.0	404	0	408
51.0	373	0	336
52.0	349	0	372
53.0	381	0	381
54.0	347	0	341
55.0	319	0	310
56.0	318	0	299
57.0	272	0	271
58.0	271	0	276
59.0	265	0	260
60.0	222	0	233
61.0	251	0	242
62.0	221	0	208
63.0	225	0	202
64.0	195	0	209
65.0	191	0	188
66.0	167	0	171
67.0	186	0	189
68.0	198	0	184
69.0	160	0	156
70.0	157	0	161
71.0	160	0	146
72.0	121	0	128
73.0	139	0	139
74.0	138	0	138
75.0	140	0	132
76.0	109	0	109
77.0	116	0	114
78.0	112	0	115
79.0	115	0	119
80.0	103	0	94
81.0	95	0	100
82.0	113	0	94
83.0	87	0	92
84.0	86	0	78
85.0	86	0	88
86.0	80	0	78
87.0	67	0	86
88.0	95	0	80
89.0	76	0	82
90.0	84	0	72
91.0	59	0	63
92.0	69	0	76
93.0	64	0	60
94.0	68	0	64
95.0	50	0	56
96.0	70	0	63
97.0	60	0	54
98.0	51	0	48
99.0	42	0	45
100.0	53	0	46
101.0	54	0	58
102.0	41	0	41
103.0	46	0	40
104.0	40	0	39
105.0	46	0	51
106.0	37	0	33
107.0	40	0	34
108.0	36	0	46
109.0	38	0	38
110.0	33	0	30
111.0	36	0	32
112.0	31	0	33
113.0	37	0	35
114.0	33	0	31
115.0	41	0	37
116.0	22	0	21
117.0	20	0	19
118.0	22	0	31
119.0	29	0	19
120.0	30	0	40
121.0	30	0	22
122.0	24	0	32
123.0	32	0	28
124.0	27	0	18
125.0	25	0	29
126.0	26	0	23
127.0	20	0	25
128.0	28	0	19
129.0	15	0	17
130.0	16	0	16
131.0	15	0	17
132.0	13	0	10
133.0	16	0	17
134.0	17	0	17
135.0	16	0	19
136.0	17	0	14
137.0	20	0	19
138.0	17	0	20
139.0	12	0	9
140.0	17	0	17
141.0	12	0	18
142.0	23	0	16
143.0	12	0	14
144.0	11	0	11
145.0	18	0	20
146.0	15	0	17
147.0	17	0	9
148.0	12	0	10
149.0	12	0	12
150.0	11	0	13
151.0	11	0	13
152.0	11	0	13
153.0	10	0	6
154.0	6	0	4
155.0	12	0	12
156.0	10	0	16
157.0	8	0	9
158.0	16	0	11
159.0	13	1	11
160.0	12	0	11
161.0	5	0	10
162.0	11	0	8
163.0	9	0	9
164.0	7	0	5
165.0	10	0	9
166.0	4	0	8
167.0	8	0	6
168.0	7	0	5
169.0	5	0	6
170.0	9	0	9
171.0	8	0	6
172.0	3	0	5
173.0	6	0	4
174.0	3	0	9
175.0	10	0	10
176.0	10	0	9
177.0	9	0	5
178.0	6	0	4
179.0	2	0	4
180.0	6	0	4
181.0	5	0	5
182.0	5	0	8
183.0	5	0	9
184.0	10	0	16
185.0	13	0	9
186.0	10	0	2
187.0	6	0	5
188.0	3	0	6
189.0	9	0	5
190.0	1	0	3
191.0	6	0	5
192.0	3	0	2
193.0	4	0	7
194.0	7	0	4
195.0	2	0	5
196.0	6	0	1
197.0	0	0	4
198.0	4	0	4
199.0	6	0	5
200.0	6	0	4
201.0	4	0	4
202.0	0	0	3
203.0	4	0	2
204.0	1	0	5
205.0	7	0	6
206.0	5	0	2
207.0	3	0	2
208.0	5	0	6
209.0	1	0	3
210.0	4	0	2
211.0	3	0	2
212.0	1	0	4
213.0	5	0	4
214.0	4	0	1
215.0	1	0	3
216.0	1	0	1
217.0	7	0	4
218.0	2	0	3
219.0	2	0	4
220.0	2	0	2
221.0	6	0	4
222.0	1	0	4
223.0	2	0	3
224.0	5	0	7
225.0	3	0	3
226.0	5	0	4
227.0	4	0	4
228.0	3	0	2
229.0	3	0	4
230.0	6	0	0
231.0	0	0	2
232.0	1	0	2
233.0	3	0	0
234.0	1	0	1
235.0	1	0	1
236.0	1	0	2
238.0	2	0	3
239.0	2	0	1
240.0	1	0	1
241.0	1	0	0
242.0	1	0	0
243.0	0	0	2
244.0	1	0	1
245.0	1	0	2
246.0	2	0	0
247.0	0	0	1
248.0	1	0	1
249.0	1	0	2
250.0	4	0	3
251.0	2	0	2
252.0	1	0	2
253.0	1	0	2
254.0	1	0	0
255.0	1	0	2
256.0	3	0	0
257.0	1	0	0
258.0	0	0	2
259.0	1	0	3
260.0	2	0	2
261.0	2	0	0
262.0	2	0	4
263.0	2	0	0
264.0	2	0	1
265.0	1	0	2
267.0	1	0	0
268.0	0	0	3
269.0	2	0	2
270.0	3	0	3
271.0	2	0	1
272.0	2	0	0
273.0	0	0	1
274.0	1	0	1
275.0	1	0	0
276.0	1	0	2
277.0	0	0	3
278.0	1	0	0
279.0	4	0	0
