TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	966803.0	961728.9	969362.9
2000000.0	1899173.0	1889241.4	1904267.3
3000000.0	2810158.5	2795464.0	2817620.2
4000000.0	3704335.5	3685068.6	3714163.7
5000000.0	4584345.0	4560608.5	4596484.3
6000000.0	5451786.0	5423676.3	5466203.6
7000000.0	6307779.0	6275393.5	6324425.0
8000000.0	7153155.5	7116579.4	7171990.3
9000000.0	7988562.0	7947881.9	8009537.9
10000000.0	8814511.5	8769806.9	8837590.7
11000000.0	9631437.0	9582779.2	9656569.4
12000000.0	10439694.5	10387156.1	10466847.7
13000000.0	11239598.0	11183244.8	11268732.3
14000000.0	12031428.5	11971311.9	12062489.6
15000000.0	12815402.0	12751598.5	12848356.2
16000000.0	13591743.5	13524311.2	13626554.5
17000000.0	14360642.0	14289647.8	14397278.0
18000000.0	15122272.5	15047781.9	15160702.2
19000000.0	15876802.5	15798875.0	15916988.7
20000000.0	16624382.0	16543073.7	16666293.3
21000000.0	17365148.0	17280520.8	17408754.4
22000000.0	18099237.0	18011346.9	18144507.0
23000000.0	18826769.0	18735674.6	18873675.8
24000000.0	19547865.5	19453620.8	19596372.3
25000000.0	20262636.5	20165293.4	20312715.3
26000000.0	20971184.0	20870798.1	21022807.9
27000000.0	21673615.0	21570235.4	21726756.5
28000000.0	22370024.5	22263704.6	22424651.9
29000000.0	23060505.0	22951292.4	23116592.4
30000000.0	23745146.5	23633090.1	23802667.8
31000000.0	24424052.5	24309184.9	24482961.2
32000000.0	25097294.5	24979657.3	25157562.1
33000000.0	25764950.0	25644586.5	25826545.4
34000000.0	26427112.5	26304050.9	26489994.6
35000000.0	27083849.0	26958126.8	27147984.3
36000000.0	27735228.5	27606885.5	27800590.0
37000000.0	28381320.0	28250397.4	28447889.1
38000000.0	29022195.0	28888732.8	29089959.8
39000000.0	29657919.5	29521959.1	29726855.5
40000000.0	30288563.5	30150140.0	30358643.7
41000000.0	30914187.0	30773340.9	30985388.7
42000000.0	31534856.5	31391623.2	31607153.2
43000000.0	32150630.5	32005050.1	32223998.6
44000000.0	32761572.0	32613678.4	32835987.2
45000000.0	33367738.9	33217620.6	33443178.7
46000000.0	33969189.9	33816903.6	34045654.5
47000000.0	34565980.8	34411563.9	34643459.3
48000000.0	35158167.1	35001656.2	35236638.8
49000000.0	35745803.0	35587234.5	35825247.4
50000000.0	36328941.8	36168351.3	36409338.8
51000000.0	36907635.7	36745058.3	36988965.5
52000000.0	37481940.4	37317406.4	37564179.0
53000000.0	38051867.3	37885445.4	38135029.9
54000000.0	38617474.0	38449224.2	38701567.9
55000000.0	39178832.7	39008790.8	39263841.7
56000000.0	39736003.1	39564192.5	39821899.2
57000000.0	40289094.2	40115475.8	40375787.7
58000000.0	40838081.1	40662686.3	40925553.3
59000000.0	41383008.9	41205868.8	41471241.6
60000000.0	41923922.4	41745067.5	42012897.4
61000000.0	42460865.3	42280325.9	42550564.8
62000000.0	42993880.9	42811686.6	43084286.9
63000000.0	43523011.5	43339191.8	43614106.5
64000000.0	44048299.0	43862882.9	44140067.9
65000000.0	44569782.4	44382800.5	44662218.8
66000000.0	45087484.6	44898985.0	45180591.5
67000000.0	45601465.2	45411475.6	45695226.1
68000000.0	46111763.7	45920311.5	46206161.9
69000000.0	46618418.7	46425531.0	46713437.8
70000000.0	47121468.6	46927171.8	47217092.0
71000000.0	47620950.9	47425271.2	47717162.2
72000000.0	48116902.7	47919865.8	48213685.6
73000000.0	48609360.6	48410991.9	48706698.7
74000000.0	49098360.6	48898685.1	49196237.6
75000000.0	49583938.3	49382980.5	49682237.8
76000000.0	50066128.7	49863912.8	50164816.7
77000000.0	50544966.4	50341516.2	50644023.9
78000000.0	51020478.5	50815824.2	51119893.7
79000000.0	51492657.7	51286870.2	51592459.5
80000000.0	51961584.9	51754687.0	52061754.7
81000000.0	52427292.6	52219306.8	52527812.1
82000000.0	52889813.4	52680761.5	52990663.8
83000000.0	53349178.9	53139082.5	53450341.9
84000000.0	53805420.6	53594301.0	53906972.2
85000000.0	54258569.7	54046447.6	54360539.0
86000000.0	54708656.7	54495552.3	54811029.3
87000000.0	55155711.8	54941645.2	55258474.1
88000000.0	55599764.9	55384755.5	55702903.9
89000000.0	56040887.4	55824912.3	56144348.9
90000000.0	56479096.7	56262144.3	56582838.8
91000000.0	56914393.3	56696479.8	57018402.9
92000000.0	57346805.7	57127946.7	57451070.1
93000000.0	57776361.9	57556572.6	57880868.5
94000000.0	58203070.9	57982384.7	58307825.8
95000000.0	58626972.2	58405409.8	58731969.4
96000000.0	59048025.7	58825674.6	59153326.0
