TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	916057.5	911091.7	919078.7
2000000.0	1767779.0	1758351.7	1773589.2
3000000.0	2589701.0	2575969.0	2598191.8
4000000.0	3391641.0	3373750.7	3402806.1
5000000.0	4178334.0	4156364.8	4192142.0
6000000.0	4952500.0	4926529.0	4968887.2
7000000.0	5715903.5	5685997.9	5734825.5
8000000.0	6469775.5	6435995.6	6491179.1
9000000.0	7215016.0	7177410.3	7238865.3
10000000.0	7952317.0	7910934.0	7978557.6
11000000.0	8682206.5	8637106.7	8710801.7
12000000.0	9405131.0	9356354.1	9436045.7
13000000.0	10121447.5	10069048.5	10154652.8
14000000.0	10831461.0	10775480.3	10866913.6
15000000.0	11535423.0	11475922.5	11573105.3
16000000.0	12233568.5	12170583.3	12273438.2
17000000.0	12926087.0	12859663.3	12968131.1
18000000.0	13613155.0	13543337.8	13657357.1
19000000.0	14294926.5	14221761.3	14341260.4
20000000.0	14971545.5	14895069.9	15019982.6
21000000.0	15643129.5	15563393.5	15693648.9
22000000.0	16309801.5	16226849.6	16362378.3
23000000.0	16971663.5	16885539.9	17026275.1
24000000.0	17628817.5	17539557.4	17685441.5
25000000.0	18281357.5	18189002.6	18339963.0
26000000.0	18929364.5	18833955.9	18989936.3
27000000.0	19572918.0	19474499.0	19635426.7
28000000.0	20212090.5	20110700.9	20276524.8
29000000.0	20846960.0	20742636.4	20913292.9
30000000.0	21477591.0	21370371.2	21545799.6
31000000.0	22104045.0	21993966.4	22174109.4
32000000.0	22726385.5	22613488.8	22798285.9
33000000.0	23344667.0	23228991.2	23418382.0
34000000.0	23958953.0	23840527.0	24034463.0
35000000.0	24569286.5	24448152.9	24646573.0
36000000.0	25175726.0	25051915.9	25254767.5
37000000.0	25778314.5	25651870.3	25859094.4
38000000.0	26377107.0	26248058.3	26459602.6
39000000.0	26972144.5	26840526.8	27056342.5
40000000.0	27563472.0	27429318.4	27649353.7
41000000.0	28151133.0	28014479.4	28238676.0
42000000.0	28735170.5	28596046.1	28824358.6
43000000.0	29315621.0	29174063.8	29406439.3
44000000.0	29892529.0	29748566.0	29984957.3
45000000.0	30465929.0	30319597.2	30559949.8
46000000.0	31035859.5	30887186.9	31131458.2
47000000.0	31602356.0	31451376.8	31699517.2
48000000.0	32165456.5	32012198.7	32264160.5
49000000.0	32725193.5	32569688.6	32825424.8
50000000.0	33281601.0	33123879.9	33383343.5
51000000.0	33834711.0	33674804.0	33937950.7
52000000.0	34384559.0	34222494.0	34489277.8
53000000.0	34931175.0	34766981.5	35037359.4
54000000.0	35474590.5	35308296.7	35582222.9
55000000.0	36014833.0	35846468.3	36123901.8
56000000.0	36551936.0	36381527.5	36662424.7
57000000.0	37085927.0	36913503.8	37197822.5
58000000.0	37616834.5	37442424.6	37730121.8
59000000.0	38144688.5	37968317.5	38259353.5
60000000.0	38669515.0	38491210.3	38785543.7
61000000.0	39191343.0	39011129.3	39308720.3
62000000.0	39710196.0	39528102.3	39828909.8
63000000.0	40226103.0	40042154.2	40346140.4
64000000.0	40739089.5	40553311.9	40860436.8
65000000.0	41249180.5	41061598.5	41371824.1
66000000.0	41756401.0	41567040.7	41880329.5
67000000.0	42260775.1	42069660.2	42385974.9
68000000.0	42762329.2	42569484.8	42888788.1
69000000.0	43261086.0	43066536.4	43388791.9
70000000.0	43757069.1	43560838.3	43886009.9
71000000.0	44250301.9	44052413.5	44380465.7
72000000.0	44740807.1	44541284.8	44872182.2
73000000.0	45228607.5	45027474.4	45361182.4
74000000.0	45713725.3	45511004.4	45847488.6
75000000.0	46196182.6	45991896.6	46331123.0
76000000.0	46676001.0	46470172.4	46812107.6
77000000.0	47153202.0	46945853.0	47290463.8
78000000.0	47627806.7	47418959.3	47766213.1
79000000.0	48099835.9	47889511.8	48239376.4
80000000.0	48569310.4	48357531.1	48709974.5
81000000.0	49036250.3	48823037.2	49178027.8
82000000.0	49500675.9	49286049.9	49643556.7
83000000.0	49962607.0	49746588.8	50106581.2
84000000.0	50422063.1	50204673.4	50567121.0
85000000.0	50879063.6	50660322.8	51025195.6
86000000.0	51333627.7	51113555.9	51480824.3
87000000.0	51785774.2	51564391.4	51934026.2
88000000.0	52235522.0	52012847.8	52384820.2
89000000.0	52682927.6	52458943.3	52833224.8
90000000.0	53127997.3	52902695.9	53279258.4
91000000.0	53570724.6	53344123.6	53722939.4
92000000.0	54011127.5	53783244.0	54164285.6
93000000.0	54449223.6	54220074.6	54603314.9
94000000.0	54885030.4	54654632.5	55040044.9
95000000.0	55318565.1	55086934.9	55474493.0
96000000.0	55749844.9	55516998.6	55906676.5
97000000.0	56178886.6	55944840.4	56336612.3
98000000.0	56605707.0	56370476.8	56764317.3
