task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	33/dc0d30	1971	CHECK_DESIGN (input_C0.csv)	CACHED	0	2022-04-04 16:47:08.082	7.2s	259ms	56.3%	1.6 MB	5.4 MB	592.2 KB	4.2 KB
2	4c/aed26b	1972	MAKE_TSS_BED (genes.bed)	CACHED	0	2022-04-04 16:47:20.456	4.8s	422ms	65.8%	2.2 MB	9.4 MB	30.3 MB	18.9 MB
5	0f/642f81	1974	FASTQC (C0_R1_T2)	CACHED	0	2022-04-04 16:47:23.020	13m 37s	12m 57s	80.6%	1.2 GB	4.3 GB	3.7 GB	4.6 MB
7	32/d20dad	1976	TRIMGALORE (C0_R1_T2)	CACHED	0	2022-04-04 16:47:24.223	22m 26s	22m 3s	491.3%	3.1 GB	4 GB	122.7 GB	119 GB
6	d5/31b170	1977	TRIMGALORE (C0_R1_T1)	CACHED	0	2022-04-04 16:47:24.628	28m 11s	27m 42s	492.0%	3.3 GB	4.2 GB	149.9 GB	145.2 GB
4	75/e90f68	1973	FASTQC (C0_R1_T1)	CACHED	0	2022-04-04 16:47:20.996	11m 49s	11m 46s	99.7%	1.2 GB	4.2 GB	4.7 GB	4.7 MB
3	7e/bfec6e	1975	MAKE_GENOME_FILTER (genome.fa)	CACHED	0	2022-04-04 16:47:23.555	3m 42s	2m 38s	11.8%	7.4 MB	17.1 MB	2.9 GB	24.4 KB
9	34/f09622	2008	BWA_MEM (C0_R1_T2)	CACHED	0	2022-04-04 17:09:52.660	47m 43s	40m 49s	1119.8%	7.4 GB	8.8 GB	27 GB	23.1 GB
11	5c/fe1251	1979	FASTQC (C0_R2_T2)	CACHED	0	2022-04-04 16:47:25.835	18m 35s	17m 53s	88.9%	1.2 GB	4.3 GB	4.2 GB	4.6 MB
8	b3/223d01	2009	BWA_MEM (C0_R1_T1)	CACHED	0	2022-04-04 17:15:37.638	55m 24s	53m 58s	1129.3%	7.5 GB	8.7 GB	32 GB	28.4 GB
10	ec/58f761	1978	FASTQC (C0_R2_T1)	CACHED	0	2022-04-04 16:47:25.572	12m 20s	12m 17s	100.0%	1.2 GB	4.3 GB	4.8 GB	4.7 MB
17	f7/442f43	1993	output_documentation	CACHED	0	2022-04-04 16:47:33.240	3m 27s	52.3s	45.6%	21.5 MB	34.9 MB	3.2 MB	1.3 MB
16	1d/c0f1a7	2025	SORT_BAM (C0_R1_T2)	CACHED	0	2022-04-04 17:57:37.781	9m 38s	9m 27s	166.4%	5.1 GB	6 GB	15.2 GB	5.5 GB
15	a5/707070	2032	SORT_BAM (C0_R1_T1)	CACHED	0	2022-04-04 18:11:04.057	16m 57s	16m 29s	156.1%	5.1 GB	6 GB	20.6 GB	7.8 GB
