userId	geneSymbol	geneName	entrezgene	gLink
ACACB	ACACB	acetyl-CoA carboxylase beta	32	https://www.ncbi.nlm.nih.gov/gene/?term=32
FBP1	FBP1	fructose-bisphosphatase 1	2203	https://www.ncbi.nlm.nih.gov/gene/?term=2203
LOC102724566	LOC102724566	uncharacterized LOC102724566	102724566	https://www.ncbi.nlm.nih.gov/gene/?term=102724566
EIF4EBP1	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1	1978	https://www.ncbi.nlm.nih.gov/gene/?term=1978
C11orf45	C11orf45	chromosome 11 open reading frame 45	219833	https://www.ncbi.nlm.nih.gov/gene/?term=219833
ACP5	ACP5	acid phosphatase 5, tartrate resistant	54	https://www.ncbi.nlm.nih.gov/gene/?term=54
PROX2	PROX2	prospero homeobox 2	283571	https://www.ncbi.nlm.nih.gov/gene/?term=283571
ZBED3	ZBED3	zinc finger BED-type containing 3	84327	https://www.ncbi.nlm.nih.gov/gene/?term=84327
FAXDC2	FAXDC2	fatty acid hydroxylase domain containing 2	10826	https://www.ncbi.nlm.nih.gov/gene/?term=10826
MICAL1	MICAL1	microtubule associated monooxygenase, calponin and LIM domain containing 1	64780	https://www.ncbi.nlm.nih.gov/gene/?term=64780
CCER2	CCER2	coiled-coil glutamate rich protein 2	643669	https://www.ncbi.nlm.nih.gov/gene/?term=643669
CORO2A	CORO2A	coronin 2A	7464	https://www.ncbi.nlm.nih.gov/gene/?term=7464
ADO	ADO	2-aminoethanethiol dioxygenase	84890	https://www.ncbi.nlm.nih.gov/gene/?term=84890
CLIP4	CLIP4	CAP-Gly domain containing linker protein family member 4	79745	https://www.ncbi.nlm.nih.gov/gene/?term=79745
MIR5684	MIR5684	microRNA 5684	100847071	https://www.ncbi.nlm.nih.gov/gene/?term=100847071
SEC1P	SEC1P	secretory blood group 1, pseudogene	653677	https://www.ncbi.nlm.nih.gov/gene/?term=653677
GPRIN3	GPRIN3	GPRIN family member 3	285513	https://www.ncbi.nlm.nih.gov/gene/?term=285513
LOC101929846	LOC101929846	uncharacterized LOC101929846	101929846	https://www.ncbi.nlm.nih.gov/gene/?term=101929846
LOC101928389	LOC101928389	uncharacterized LOC101928389	101928389	https://www.ncbi.nlm.nih.gov/gene/?term=101928389
BBS5	BBS5	Bardet-Biedl syndrome 5	129880	https://www.ncbi.nlm.nih.gov/gene/?term=129880
RALGDS	RALGDS	ral guanine nucleotide dissociation stimulator	5900	https://www.ncbi.nlm.nih.gov/gene/?term=5900
RNF166	RNF166	ring finger protein 166	115992	https://www.ncbi.nlm.nih.gov/gene/?term=115992
PROSER2	PROSER2	proline and serine rich 2	254427	https://www.ncbi.nlm.nih.gov/gene/?term=254427
TSPAN32	TSPAN32	tetraspanin 32	10077	https://www.ncbi.nlm.nih.gov/gene/?term=10077
LRTM1	LRTM1	leucine rich repeats and transmembrane domains 1	57408	https://www.ncbi.nlm.nih.gov/gene/?term=57408
LOC101928272	LOC101928272	uncharacterized LOC101928272	101928272	https://www.ncbi.nlm.nih.gov/gene/?term=101928272
LOC101928047	LOC101928047	uncharacterized LOC101928047	101928047	https://www.ncbi.nlm.nih.gov/gene/?term=101928047
