Geneid	Chr	Start	End	Strand	Length	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	C0_R1.raw	C0_R2.raw	C4_R1.raw	C4_R2.raw	C0_R1.pseudo	C0_R2.pseudo	C4_R1.pseudo	C4_R2.pseudo
Interval_13	chr1	733420	734394	+	975	32.4858219904332	3.5512140606587	0.561097489229318	6.32904999367648	2.4667518515481e-10	1.71718567823544e-08	3	8	25	44	3.40928983578622	4.91305838102741	39.8908126928028	61.3774142383393
Interval_14	chr1	736542	738223	+	1682	45.6784823396192	2.14244899463726	0.392520487342627	5.45818387504225	4.81029371190167e-08	1.77918001852464e-06	18	18	54	36	20.4557390147173	11.0543813573117	86.164155416454	50.2178843768231
Interval_18	chr1	867441	867970	+	530	40.697659160169	1.5168799440387	0.426001051669103	3.5607422519157	0.00036980795362573	0.00362702194805553	13	24	29	28	14.773589288407	14.7391751430822	46.2733427236512	39.0583545153068
Interval_23	chr1	966124	967269	+	1146	130.3813781359	1.28491708732763	0.239496454979592	5.36507768950951	8.09143844205114e-08	2.8056473117571e-06	54	134	116	122	61.367217044152	82.293727882209	185.093370894605	170.182830388123
Interval_25	chr1	999204	1002045	+	2842	194.154430921991	1.33542798794371	0.271283253876103	4.92263333199921	8.53873494992133e-07	2.16700102745777e-05	112	174	261	142	127.280153869352	106.859019787346	416.460084512861	198.081655041913
Interval_26	chr1	1012996	1015742	+	2747	304.525989119615	2.55505348312225	0.253801863453125	10.0671186899861	7.72067811673812e-24	6.46598914033842e-21	98	197	589	341	111.370134635683	120.9840626328	939.827547042434	475.67496034713
Interval_27	chr1	1019188	1022088	+	2901	357.086761327185	1.26212931697111	0.214140793064344	5.89392286686765	3.77133264261103e-09	1.89894696508992e-07	167	322	357	273	189.783800858766	197.750599836353	569.640805253224	380.818956524242
Interval_28	chr1	1032307	1033505	+	1199	89.2822120546785	1.53336153272331	0.281273796724415	5.45149086256927	4.99492887201657e-08	1.84248895389612e-06	41	93	100	101	46.593627755745	57.1143036794436	159.563250771211	140.889064501643
Interval_31	chr1	1063936	1064606	+	671	149.554964260009	1.61361395683202	0.245679694744651	6.56795816401978	5.10098670131769e-11	4.15335696948361e-09	71	104	154	139	80.6865261136073	63.8697589533563	245.727406187665	193.896831343845
Interval_32	chr1	1069184	1070503	+	1320	186.975332774085	1.19161697635854	0.21542872618548	5.53137456391297	3.17731033957097e-08	1.23765813388679e-06	106	196	169	200	120.46157419778	120.369930335171	269.661893803347	278.988246537906
Interval_40	chr1	1201004	1201856	+	853	187.13569409307	1.92030301747201	0.230445779501916	8.33299278304227	7.88239686887033e-17	2.30227701286713e-14	61	80	161	134	69.3222266609865	49.1305838102741	256.89683374165	186.922125180397
Interval_41	chr1	1208041	1209352	+	1312	114.809887635458	1.12722447165266	0.24088719292554	4.67947032784383	2.87616978289386e-06	6.12980417453209e-05	57	103	89	99	64.7765068799382	63.2556266557278	142.011293186378	138.099182036263
Interval_42	chr1	1212935	1215355	+	2421	98.2034496285991	0.869614102369551	0.267066378553308	3.25617214372033	0.00112925263388743	0.00899478655606339	54	93	69	76	61.367217044152	57.1143036794436	110.098643032136	106.015533684404
Interval_47	chr1	1281803	1283352	+	1550	100.363018140421	1.51561670038643	0.313941262089599	4.82770786579139	1.3811349668938e-06	3.26390069890129e-05	54	77	103	103	61.367217044152	47.2881869173888	164.350148294348	143.678946967022
Interval_51	chr1	1344612	1345613	+	1002	113.408079401352	2.43230979702794	0.273787225171395	8.88394188408636	6.45320107831051e-19	2.66150766483044e-16	28	58	106	141	31.8200384673381	35.6196732624487	169.137045817484	196.686713809224
Interval_99	chr1	2234116	2235025	+	910	152.185255462645	-0.935119350421309	0.255034038837028	-3.66664526306181	0.000245753339783561	0.0025842356962711	195	421	80	90	221.603839326104	258.549697301567	127.650600616969	125.544710942058
Interval_120	chr1	3306111	3308282	+	2172	132.385843170869	0.848660372201754	0.246487175710197	3.44302039145254	0.000575255937263314	0.00518773275408737	76	192	127	121	86.3686758399176	117.913401144658	202.645328479438	168.787889155433
Interval_121	chr1	3312922	3313805	+	884	190.546619536405	0.785167816255422	0.225572597294482	3.48077659109628	0.000499962320255351	0.00463944720762203	111	303	173	188	126.14372392409	186.082086181413	276.044423834195	262.248951745632
Interval_147	chr1	6013735	6015524	+	1790	61.6235469779493	-1.60980487252151	0.370855573401166	-4.34078651631894	1.41973610087865e-05	0.000239957620970993	83	204	23	26	94.3236854567522	125.282988716199	36.6995476773786	36.2684720499278
Interval_150	chr1	6055976	6057031	+	1056	208.291674021975	-1.04166826609964	0.213969491166014	-4.86830276794663	1.12560786344705e-06	2.74704548868728e-05	257	602	110	105	292.062495932353	369.707643172312	175.519575848332	146.468829432401
Interval_168	chr1	6401551	6402279	+	729	64.8217899906959	-1.0484839573141	0.309086167686494	-3.39220601543572	0.000693322889277787	0.00604138261116733	85	176	27	40	96.5965453472763	108.087284382603	43.082077708227	55.7976493075812
Interval_175	chr1	6502035	6502865	+	831	48.3874142042357	-1.39933687110669	0.376420244711746	-3.71748568459241	0.000201215384699119	0.00219113062011351	70	171	21	26	79.5500961683452	105.016622894461	33.5082826619543	36.2684720499278
Interval_176	chr1	6509414	6510581	+	1168	104.046727780054	-1.15856439179836	0.292332765184101	-3.96316981802822	7.39611315067333e-05	0.000955950536580099	145	280	49	52	164.782342063001	171.957043335959	78.1859928778935	72.5369440998556
Interval_182	chr1	6624642	6626062	+	1421	138.547116688346	0.93003067706825	0.25657082106722	3.62484975181409	0.00028912949347867	0.00295848573092737	68	167	125	107	77.277236277821	102.560093703947	199.454063464014	149.25871189778
Interval_185	chr1	6753261	6754108	+	848	49.1337725779829	1.79591326696767	0.377816069052767	4.75340625789223	2.00017865168594e-06	4.48164517222145e-05	10	37	35	50	11.3642994526207	22.7228950122518	55.8471377699239	69.7470616344765
Interval_193	chr1	7470851	7471526	+	676	30.8267108129493	1.50888252297757	0.434319006855154	3.47413421738824	0.000512504604312172	0.00473099796359433	15	23	25	34	17.0464491789311	14.1250428454538	39.8908126928028	47.428001911444
Interval_195	chr1	7549324	7550217	+	894	50.1080848726464	1.46463612347173	0.351804351747073	4.16321206999939	3.13801663681721e-05	0.000466998327198795	20	39	46	42	22.7285989052415	23.9511596075086	73.3990953547572	58.5875317729603
Interval_204	chr1	7920448	7921123	+	676	39.311369027036	1.38345194383172	0.410354528604339	3.37135780744759	0.000747986403499803	0.00643099058043608	12	29	30	26	13.6371593431449	17.8098366312243	47.8689752313634	36.2684720499278
Interval_213	chr1	8089605	8090935	+	1331	39.7721938623973	1.98939717347699	0.388270861573269	5.1237354392652	2.99541201880072e-07	8.75951553393397e-06	14	29	33	58	15.910019233669	17.8098366312243	52.6558727544997	80.9065914959927
Interval_242	chr1	8525355	8526548	+	1194	171.684655733308	-0.956682161919973	0.245057314432077	-3.90391188337754	9.46502537834533e-05	0.00117133970582376	167	422	69	88	189.783800858766	259.163829599196	110.098643032136	122.754828476679
Interval_243	chr1	8540418	8541413	+	996	45.9916990545872	1.49392037662438	0.371927435386796	4.01669851289873	5.90191501309176e-05	0.000792140266205222	13	39	37	38	14.773589288407	23.9511596075086	59.0384027853481	53.0077668422021
Interval_247	chr1	8660510	8662095	+	1586	55.2777584743338	1.17736322260553	0.325700024598249	3.61486992227836	0.000300498461527497	0.00305438725307881	42	51	50	67	47.7300577010071	31.3207471790497	79.7816253856056	93.4610625901985
Interval_279	chr1	9195813	9197016	+	1204	147.162120678308	1.348074503738	0.225239888276562	5.9850611454875	2.16308585559383e-09	1.16186589340319e-07	76	145	158	144	86.3686758399176	89.0491831561217	252.109936218514	200.871537507292
Interval_281	chr1	9207117	9207846	+	730	27.9049068870858	2.16506620336801	0.535905839411697	4.04001233825845	5.34483895854649e-05	0.000731974491379517	6	18	28	28	6.81857967157245	11.0543813573117	44.6777102159391	39.0583545153068
Interval_282	chr1	9228563	9229516	+	954	51.6373832478456	1.22396848034591	0.360932045603985	3.39113274992725	0.000696043781114666	0.00605930179160004	20	38	45	29	22.7285989052415	23.3370273098802	71.803462847045	40.4532957479964
Interval_292	chr1	9296734	9297389	+	656	46.4919213461223	-2.28298100985909	0.641227080182604	-3.56033155868738	0.000370386835832354	0.00363104743957294	57	200	20	5	64.7765068799382	122.826459525685	31.9126501542422	6.97470616344765
Interval_299	chr1	9349480	9350723	+	1244	43.8256053720354	1.26093622596497	0.379908655407005	3.31905106140344	0.000903239115467589	0.0074934243569076	24	23	31	32	27.2743186862898	14.1250428454538	49.4646077390755	44.638119446065
Interval_300	chr1	9361923	9363387	+	1465	72.5722249154497	-1.17930314072044	0.304820250422887	-3.86884775235356	0.000109350892765539	0.00132212078725768	83	128	25	26	94.3236854567522	78.6089340964385	39.8908126928028	36.2684720499278
Interval_308	chr1	9570755	9571503	+	749	47.1440726823083	-2.33939626089348	0.432232840216983	-5.41235196224121	6.22022739171003e-08	2.23128908630773e-06	41	167	6	14	46.593627755745	102.560093703947	9.57379504627267	19.5291772576534
Interval_313	chr1	9628660	9630580	+	1921	107.183993900453	-0.980141260321316	0.282062831691154	-3.47490399371203	0.00051103621308623	0.00472116008023855	122	251	63	38	138.644453321973	154.147206704735	100.524847985863	53.0077668422021
Interval_321	chr1	9730293	9731405	+	1113	137.315649993189	-1.47151852222532	0.248828233980135	-5.91379241289313	3.34319187998333e-09	1.70958959724456e-07	147	410	44	58	167.055201953525	251.794242027655	70.2078303393329	80.9065914959927
